,,,,Stay,,,,,,Leave,,,,,,Experts,,,,,,,,
No,Question,Type,Choices,Britain Stronger in Europe,Impt,In Facts,Impt,British Influence,Impt,Vote Leave,Impt,Leave.EU,Impt,Better Off Out,Impt,Institute for Economic Affairs,Woodford,Institute for Fiscal Studies,OECD,HM Treasury,Economists for Brexit,BBC Reality Check,Channel 4 Fact Check,Non-economic questions
1,Leaving the EU would significantly decrease foreign direct investment into the UK.,Economics,Yes,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,"""Concerns about a drying up of foreign direct investment if Britain votes to leave the European Union are somewhat overblown...It is likely Britain would remain a haven for foreign direct investment flows even if it was outside of the European Union. Of course, we could see a period of weak foreign direct investment inflows as the United Kingdom's new relationship is renegotiated. However, if Britain is able to obtain favourable terms, then foreign direct investment would probably recoup this lost ground.""

https://woodfordfunds.com/economic-impact-brexit-report/",,"""Brexit would make the UK less attractive for FDI. If access to the Single Market was lost, lower FDI inflows would seem unavoidable, reducing the inflows of new ideas and knowledge into the UK. This would weaken fixed investment, reduce export capacity and hit innovation and productivity (technical progress) over time.""

https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf","""Trade and investment flows would be lower.""

https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/517415/treasury_analysis_economic_impact_of_eu_membership_web.pdf ","""Overall, as our post Brexit  forecast makes clear, growth and investment would rise in the long term, and so we can reasonably project that FDI would rise with it.""

http://static1.squarespace.com/static/570a10a460b5e93378a26ac5/t/573182efcf80a12bea55ab12/1462862605164/Economists+for+Brexit+-+The+Economy+after+Brexit.pdf","""The figures show just under half (48%) of total foreign direct investment in the UK in 2014 was from other EU countries. It is hard to say whether this would be the case were the UK outside the single market. However the common rules in the single market make it simpler for firms to expand across the EU, encouraging investment.""

""Whether ""much of"" the investment in the UK was because of its relationship with Europe or despite it is impossible to say for sure. However, it is clear the UK's role in the EU adds to its appeal as a place to invest.""

http://www.bbc.com/news/uk-politics-eu-referendum-36078099 ",,
,,,"Yes, because the EU accounts for almost half of foreign investment into the UK.",No mention,,Yes (20),,NA,,NA,,NA,,,,,,,,,,,,
,,,"Yes, because it will produce a period of uncertainty.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because the single market is not the only reason why firms invest in Britain.",NA,,NA,,NA,,Yes (20),,No mention (0),,Yes (20),,,,,,,,,,
,,,"No, the EU foreign investments are surpassed by investments from other countries.",NA,,NA,,NA,,Yes. (20) ,,No mention (0),,No mention. (0),,,,,,,,,,
,,,No,NA,,NA,,NA,,Yes (10),,No mention (0),,Yes (10),,,,,,,,,,
2,The annual contribution to the EU budget is a bad investment.,Economics,Yes,NA,,NA,,NA,,Yes (10),,Implied (10),,Yes (10),,No mention.,"""The government may choose to use the £10bn savings from its contributions to the European Union budget to compensate the hardest hit sectors (including some manufacturing industries) and regions, at least in the short term. The extra costs which British exporters would pay in higher tariffs would be less than the savings the United Kingdom would make on its contributions to the European Union – making it feasible for the government to compensate the losers from Brexit, at least in the short term.""
http://woodfordfunds.com/economic-impact-brexit-report/","""While the mechanical event of Brexit would strengthen the UK's finances, this would likely be offset by reductions in GDP. As a result, the overall effect of Brexit would damage the UK's public finances and require an additional one or two years of austerity to balance the budget.""

http://www.ifs.org.uk/uploads/publications/comms/r116.pdf","""Fiscal savings from stopping net transfers to the EU budget are likely to be 0.3-0.4% of GDP per year, which is a relatively small amount...Thus there appears little scope to use the EU budget savings to relax fiscal policy substantially for an extended period, unless there is a decision to adjust other taxes and spending, or to raise the size of the overall budget deficit.""
 
https://www.oecd.org/eco/The-Economic-consequences-of-Brexit-27-april-2016.pdf","""The negative impact on GDP would also result in substantially weaker tax receipts. This would significantly outweigh any potential gain from reduced financial contributions to the EU. The result would be higher government borrowing and debt, large tax rises or major cuts in public spending. After 15 years, even with savings from reduced contributions to the EU, receipts would be £20 billion a year lower in the central estimate of the EEA, £36 billion a year lower for the negotiated bilateral agreement and £45 billion a year lower for the WTO alternative. £36 billion is more than a third of the NHS budget and the equivalent of 8p on the basic rate of income tax.""

https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/517415/treasury_analysis_economic_impact_of_eu_membership_web.pdf","""The UK contribution to the EU budget and the receipts that are returned  to it represent spending that is expensive, poorly directed, defectively audited and allocated through a process of fiscal churning.""

""The inefficiency of EU spending is highlighted by the Common Agricultural Policy (CAP). Although agriculture accounts for only around 3% of the EU economy, the CAP still continues to represent almost 40% of the EU budget. It is a poorly focused mechanism for achieving UK policy objectives.""
 
http://static1.squarespace.com/static/570a10a460b5e93378a26ac5/t/573182efcf80a12bea55ab12/1462862605164/Economists+for+Brexit+-+The+Economy+after+Brexit.pdf ","""This is not to say that the IMF is definitely right to say that the economy would grow less following a Brexit - if the economy grew an extra 1% that would also dwarf the budget contribution.
The point is that the contribution to the EU budget is relatively small compared with the size of the UK economy."" 

""The UK contributes just over £8bn a year to the EU Budget after deducting the rebate and direct payments to public and private sector groups in the UK. Whether that counts as a loss depends on your perspective – that money is spent on running EU institutions, pan-European initiatives and projects in other countries.""

http://www.bbc.com/news/uk-politics-eu-referendum-36286449 ","""When we raised this with Leave campaigners last year, the suggestion was that the real issue was control: after Brexit, Britain would be able to decide what it spent the money on, rather than having the spending allocated by Brussels. It's possible to argue that the gross contribution minus Britain's rebate – £14.4bn in 2014 – would be available to spend on whatever UK governments wanted in the event of a Leave vote. But the IFS says this only works if two conditions are met. First, the UK would have to negotiate a relationship with the EU after Brexit that did not involve a financial contribution. This could be tricky. If, like Norway, we wanted to continue to have access to the EU's internal market, we might have to pay for the privilege. Second, Britain only gains financially if Brexit does not adversely affect trade, jobs and growth, which is a big “if"".""

http://blogs.channel4.com/factcheck/factcheck-send-350m-week-brussels/22804",
,,,"Yes, because it can be better spent on other British services, like the NHS or schools.",NA,,NA,,NA,,Yes (20),,Yes (20),,Implied (10),,,,,,,,,,
